MOVE_TYPE,MOVE_TYPE_DETAIL,FROM_LOCATION,TO_LOCATION,EMP_ID,START_TIME,END_TIME,GOAL
REPLEN OVERFLOW,REPLEN,B11-410B,B11-3502,D5702,20180723180812,,20180723180812
REPLEN,REPLEN,C12-3701,C12-210A,M4225,20180723180818,,20180723180818
REPLEN,REPLEN,C18-1155,C18-120A,G6481,20180723180833,,20180723180833
PUTAWAY,SLAMS DUNK,DR-D26,A06-2352,W4741,20180723180850,,20180723180850
REPLEN,REPLEN,A11-2004,A11-290A,S7299,20180723180856,,20180723180856
REPLEN,REPLEN,A12-1753,A12-260A,H3276,20180723180924,,20180723180924
REPLEN,REPLEN,C10-1301,C09-400A,J7124,20180723180929,,20180723180929
PUTAWAY,PUTAWAY,DR-D27,A11-2052,S6227,20180723180945,,20180723180945
